eenheid_id;bouwnummer;straat;huisnummer;huisletter;huisnummertoevoeging;postcode;plaats;type_overzicht;cluster_naam;pand_id;bag_verblijfsobject;bag_nummeraanduiding;woningwaarderingstelsel;pandsoort;bouwjaar;klimaatbeheersing;woz_waarde;woz_peildatum;energielabel;energieprestatie_soort;energieprestatie_waarde;energieprestatie_begindatum;energieprestatie_einddatum;monument;gebruiksoppervlakte
3004611;25;Fascinatio Boulevard;1448;;;2909 VD;CAPELLE AAN DEN IJSSEL;B3;Fascinatio 1400-1464 WON;502100000940661;0502010000940710;0502200000940711;ZEL;MGW;;;;;;;;;;;
3004612;26;Fascinatio Boulevard;1450;;;2909 VD;CAPELLE AAN DEN IJSSEL;B3;Fascinatio 1400-1464 WON;502100000940661;0502010000940712;0502200000940713;ZEL;MGW;;;;;;;;;;;
3004613;27;Fascinatio Boulevard;1452;;;2909 VD;CAPELLE AAN DEN IJSSEL;B3;Fascinatio 1400-1464 WON;502100000940661;0502010000940714;0502200000940715;ZEL;MGW;;;;;;;;;;;
3004614;28;Fascinatio Boulevard;1454;;;2909 VD;CAPELLE AAN DEN IJSSEL;B3;Fascinatio 1400-1464 WON;502100000940661;0502010000940716;0502200000940717;ZEL;MGW;;;;;;;;;;;
3004615;29;Fascinatio Boulevard;1456;;;2909 VD;CAPELLE AAN DEN IJSSEL;B3;Fascinatio 1400-1464 WON;502100000940661;0502010000940718;0502200000940719;ZEL;MGW;;;;;;;;;;;
3004616;30;Fascinatio Boulevard;1458;;;2909 VD;CAPELLE AAN DEN IJSSEL;B3;Fascinatio 1400-1464 WON;502100000940661;0502010000940720;0502200000940721;ZEL;MGW;;;;;;;;;;;
3004617;31;Fascinatio Boulevard;1460;;;2909 VD;CAPELLE AAN DEN IJSSEL;B3;Fascinatio 1400-1464 WON;502100000940661;0502010000940722;0502200000940723;ZEL;MGW;;;;;;;;;;;
3004618;32;Fascinatio Boulevard;1462;;;2909 VD;CAPELLE AAN DEN IJSSEL;B3 hoek;Fascinatio 1400-1464 WON;502100000940661;0502010000940724;0502200000940725;ZEL;MGW;;;;;;;;;;;
3004619;33;Fascinatio Boulevard;1464;;;2909 VD;CAPELLE AAN DEN IJSSEL;B3 hoek;Fascinatio 1400-1464 WON;502100000940661;0502010000940726;0502200000940727;ZEL;MGW;;;;;;;;;;;
3004620;34;Fascinatio Boulevard;1466;;;2909 VD;CAPELLE AAN DEN IJSSEL;B2 hoek;Fascinatio 1466-1530 WON;0502100000940763;0502010000940764;0502200000940765;ZEL;MGW;;;;;;;;;;;
3004621;35;Fascinatio Boulevard;1468;;;2909 VD;CAPELLE AAN DEN IJSSEL;B2 hoek;Fascinatio 1466-1530 WON;0502100000940763;0502010000940766;0502200000940767;ZEL;MGW;;;;;;;;;;;
3004622;36;Fascinatio Boulevard;1470;;;2909 VD;CAPELLE AAN DEN IJSSEL;B2;Fascinatio 1466-1530 WON;0502100000940763;0502010000940768;0502200000940769;ZEL;MGW;;;;;;;;;;;
3004623;37;Fascinatio Boulevard;1472;;;2909 VD;CAPELLE AAN DEN IJSSEL;B2;Fascinatio 1466-1530 WON;0502100000940763;0502010000940770;0502200000940771;ZEL;MGW;;;;;;;;;;;
3004624;38;Fascinatio Boulevard;1474;;;2909 VD;CAPELLE AAN DEN IJSSEL;B2;Fascinatio 1466-1530 WON;0502100000940763;0502010000940772;0502200000940773;ZEL;MGW;;;;;;;;;;;
